c,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19
a42,33,74,33,82,86,9,39,76,61,20,4,48,66,35,33,34,49,45,88,75
a43,13,97,79,59,22,84,41,11,80,21,61,14,56,94,49,36,40,36,47,68
a44,4,9,26,19,84,89,67,71,40,16,52,92,7,77,40,88,60,76,7,37
a45,95,58,68,78,0,40,10,49,87,82,69,76,29,60,51,54,58,82,19,69
a46,97,4,28,50,52,10,53,18,86,39,92,46,81,28,83,58,48,24,71,91
a47,9,58,99,67,46,94,27,10,18,31,51,38,30,48,62,98,77,10,52,69
a48,29,60,41,43,9,15,78,80,66,36,13,16,32,99,55,94,49,24,76,4
a49,6,21,94,41,64,51,87,11,6,11,78,26,59,17,80,31,80,43,0,43
a50,10,7,85,40,46,24,45,41,65,76,51,51,39,36,19,79,53,99,71,50
a51,88,32,35,83,48,75,33,24,96,6,43,98,72,100,47,46,38,5,14,66
a52,74,63,17,33,30,30,16,54,30,5,8,76,72,100,52,17,43,14,97,77
a53,10,67,23,32,4,17,9,22,64,94,50,15,23,18,0,45,82,63,97,61
a54,76,16,75,17,43,29,67,96,93,49,19,51,16,56,26,51,17,28,5,77
a55,31,3,68,30,66,8,87,70,2,55,69,47,11,3,24,58,5,52,30,46
a56,21,69,58,58,29,75,12,75,47,14,73,42,1,82,41,27,52,45,24,77
a57,37,70,8,95,97,7,21,24,82,89,51,32,95,12,14,48,48,68,16,80
a58,92,8,52,57,100,10,11,22,83,28,86,41,66,38,55,55,27,59,5,89
a59,42,12,82,34,34,68,99,93,60,6,88,52,2,18,52,80,23,64,11,1
a60,92,20,85,100,74,23,2,88,39,56,50,26,81,17,8,63,16,4,10,3
a61,52,68,33,54,15,30,76,58,37,20,15,57,62,17,77,6,14,62,14,18
a62,12,3,86,10,63,10,18,26,70,46,73,54,28,18,41,1,23,84,58,44
a63,70,31,89,96,27,7,82,83,17,8,30,27,86,5,73,10,53,2,71,58
a64,84,81,2,48,43,20,5,14,57,61,30,68,49,25,29,34,28,88,92,21
a65,11,17,72,71,13,98,49,86,54,0,43,100,24,13,1,26,24,90,27,43
a66,82,32,76,27,11,21,46,95,31,25,84,51,84,11,37,62,14,57,2,68
a67,53,65,88,46,12,28,34,60,49,45,35,62,19,24,30,38,62,40,82,81
a68,19,13,34,85,100,89,71,24,86,53,85,20,84,7,47,20,53,89,14,40
a69,47,55,65,39,93,4,52,19,66,71,21,35,11,79,24,37,52,62,77,82
a70,0,71,98,77,2,0,36,28,72,71,18,52,87,43,74,99,57,0,52,76
a71,55,77,75,62,35,12,50,26,12,100,45,94,84,52,27,57,29,78,29,21
a72,97,31,81,79,2,35,70,1,27,31,12,18,34,48,39,85,59,65,61,100
a73,62,65,77,81,53,1,83,29,20,80,77,35,33,47,24,2,61,59,48,5
a74,92,62,99,56,69,24,26,65,47,19,56,79,54,81,33,77,8,76,67,79
a75,19,5,37,22,76,17,1,74,39,93,92,20,7,43,43,66,6,91,73,37
a76,34,27,91,98,90,100,39,52,92,89,75,94,56,37,62,24,67,85,33,68
a77,77,50,26,63,73,61,1,74,96,79,97,55,95,61,28,48,78,67,31,45
a78,88,25,90,47,55,15,29,46,6,78,51,65,99,98,30,49,20,2,51,1
a79,42,11,9,26,27,24,70,65,19,69,2,22,30,15,4,86,16,17,62,19
a80,83,52,72,100,35,51,64,46,83,92,36,45,69,26,63,4,22,52,7,3
a81,36,50,48,18,30,73,27,59,97,49,69,64,77,31,92,40,35,6,74,17
a82,10,40,60,69,92,80,68,85,33,80,37,42,3,10,80,96,76,89,6,30
a83,2,44,12,44,73,66,97,47,73,9,51,17,7,4,33,8,47,87,74,70
a84,30,13,3,36,50,30,3,79,16,43,28,99,31,35,17,27,41,2,81,85
a85,60,26,6,36,25,67,12,27,87,81,12,95,61,21,51,94,94,100,27,58
a86,73,78,43,10,73,3,15,78,9,29,65,93,9,73,63,79,23,43,30,79
a87,51,36,22,0,35,83,61,75,9,3,78,39,61,9,18,100,62,45,87,20
a88,6,70,26,37,80,86,62,27,85,68,33,50,64,54,28,94,95,19,79,9
a89,91,93,20,82,79,22,11,28,26,75,7,36,19,80,90,39,86,83,84,81
a90,85,25,9,94,79,85,10,48,81,24,18,29,56,4,79,21,0,31,67,71
a91,25,12,54,23,46,29,6,5,84,8,38,34,71,26,47,61,98,71,52,71
a92,15,33,96,30,9,87,0,50,62,25,25,41,96,82,74,88,43,18,100,91
a93,60,86,96,57,41,1,12,28,57,68,16,6,9,47,35,94,99,24,62,64
a94,99,38,18,30,85,34,17,3,17,5,92,76,12,73,68,47,87,11,52,4
a95,17,26,75,29,34,37,87,43,73,97,98,100,87,61,51,16,11,37,26,82
a96,40,98,60,56,11,71,21,13,69,51,68,73,43,51,33,74,58,65,19,59
a97,79,55,34,88,7,79,78,0,66,52,0,86,19,24,54,36,82,37,25,58
a98,23,23,19,24,25,7,27,16,4,19,63,28,67,46,49,77,48,58,5,54
a99,18,33,51,93,15,99,80,42,49,60,17,79,0,79,71,59,46,100,45,75
w,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
f,3,3,3,3,2,3,6,3,2,5,5,2,5,1,6,6,4,3,1,4
p,12,19,14,12,10,16,16,14,19,14,12,10,12,11,19,16,19,10,13,18
q,4,3,1,2,3,1,2,3,5,5,5,4,1,5,4,3,3,5,4,4
